number,description,rgbCode
E307”,”Fluorescent Yellow ,1629947
E310,Black ,0
E316,Mauve Antique MD ,8350383
E317,Pewter Grey ,6313039
E321,Red ,2425004
E334,Blue Baby MD,10909002
E415,Pearl Grey ,11642527
E436,Tan,4881593
E677,Old Gold V LT ,9359338
E699,Green ,4022016
E990,Fluorescent Green,4091904
E703,Chartreuse ,4630368
E718,Plum ,7282855
E746,White Off ,13103610
E747,Blue Sky V LT,14801837
E815,Garnet MD ,2297200
E818,Pink Baby ,13816063
E825,Blue DK ,8802075
E898,Brown Coffee V DK,2305610
E966,Green Baby MD,9355149
E967,Apricot V LT ,11124479
E3685,Mauve V DK ,3545194
E3747,Violet Blue V LT ,14662317
E3821,Straw ,4501731
E3837,Lavender Ultra DK ,8468076
E3843,Blue Electric ,13074688
E3849,Teal Green LT ,9277764
E3852,Straw V DK ,1802435
